Año;Barcelona;Ciutat Vella;Eixample;Sants-Montjuïc;Les Corts;Sarrià-Sant Gervasi;Gràcia;Horta-Guinardó;Nou Barris;Sant Martí
2014;2754.46;2674.20;3156.31;1993.62;3351.37;3553.26;2816.74;2022.70;1613.77;2737.80
2015;2970.55;3075.69;3396.80;2335.09;3614.93;3941.48;3057.07;2250.76;1698.49;2895.03
2016;3238.16;3644.73;3530.01;2482.17;3710.69;4373.83;3538.49;2357.16;1811.88;3190.38
2017;3745.87;4236.93;4333.44;3465.62;4750.35;5061.66;4076.50;2696.64;2121.55;3619.80
2018;3995.29;4638.20;4403.13;3499.80;4611.71;5450.87;4353.94;3041.43;2279.73;3775.81
2019;4127.15;4339.26;4762.89;3717.57;5037.50;5365.24;4561.08;3126.42;2502.17;3894.73
2020;4170.39;4201.60;4791.25;3640.85;5142.93;5386.46;4397.94;3153.03;2462.89;3916.14
2021;4119.82;3816.89;4645.75;3803.76;4820.70;6063.34;4205.66;2954.61;2627.23;3764.05
2022;4380.37;4140.71;4978.94;3623.28;4869.05;6085.62;4562;3354.31;2561.15;4280.64
2023;4370.96;4170.41;5108.05;3737.77;5045.51;5975.31;4656.44;3324.59;2658.17;4212.99
2024;4429.84;4339.88;5127.95;4175.30;5524.07;6099.02;4854.07;3628.94;2776.34;4177.99
