Año,Barcelona,Ciutat Vella,Eixample,Sants-Montjuïc,Les Corts,Sarrià-Sant Gervasi,Gràcia,Horta-Guinardó,Nou Barris,Sant Martí
2000,6.00,5.53,5.75,6.05,7.59,7.40,6.32,5.75,5.41,5.74
2001,6.87,6.43,6.81,6.68,8.64,8.24,7.04,6.45,6.25,6.50
2002,7.62,7.29,7.47,7.51,8.90,9.06,8.08,7.09,7.15,7.47
2003,8.00,7.59,7.88,7.77,9.34,9.35,8.41,7.65,7.28,7.65
2004,8.68,8.56,8.45,8.68,9.96,10.00,9.27,8.28,7.94,8.20
2005,9.64,9.76,9.49,9.51,10.78,10.85,10.18,9.18,8.88,9.20
2006,10.56,10.69,10.26,10.49,11.85,11.63,11.26,10.18,9.94,10.35
2007,11.54,11.60,11.26,11.28,13.01,12.71,12.45,11.08,10.83,11.21
2008,12.24,12.57,11.89,12.22,13.38,13.29,13.02,12.04,11.48,11.84
2009,11.92,12.42,11.64,11.91,12.91,12.85,12.81,11.39,11.17,11.59
2010,11.60,12.07,11.34,11.55,12.31,12.81,12.57,10.80,10.74,11.23
2011,11.38,12.05,11.19,11.30,12.12,12.79,12.03,10.57,10.33,10.90
2012,10.84,11.66,10.75,10.76,11.62,12.27,11.39,10.10,9.48,10.48
2013,10.29,11.38,10.24,10.10,11.18,11.72,10.95,9.32,8.75,9.87
2014,10.16,11.38,10.28,9.89,11.01,11.86,10.77,09.03,8.40,9.75
2015,11.09,12.45,11.18,10.66,11.97,12.96,11.82,9.92,8.87,10.64
2016,12.22,13.90,12.39,11.66,13.17,14.31,12.95,10.73,9.65,11.74
2017,13.36,15.46,13.43,12.92,14.22,15.43,14.25,11.88,10.55,12.90
2018,13.42,14.46,13.73,13.01,14.52,15.44,14.04,11.87,11.22,13.21
2019,13.98,14.77,14.34,13.49,14.95,15.71,14.63,12.71,11.70,13.85
2020,13.89,14.34,14.22,13.64,14.67,15.59,14.44,12.78,11.72,13.79
2021,13.21,13.24,13.35,12.97,13.84,14.86,13.81,12.22,11.28,13.31
2022,14.54,15.79,14.93,14.08,15.23,16.23,15.28,13.10,12.08,14.49
2023,16.10,16.66,16.51,16.33,16.77,18.24,16.88,14.48,13.26,16.18
2024,16.20,16.69,16.73,15.65,17.58,18.34,17.61,14.58,13.13,16.37
