Distritos;Indicadores de renta media y mediana;Periodo;Total
Ciutat Vella;Renta neta media por persona;2022;12.855
Ciutat Vella;Renta neta media por persona;2021;11.931
Ciutat Vella;Renta neta media por persona;2020;11.154
Ciutat Vella;Renta neta media por persona;2019;11.552
Ciutat Vella;Renta neta media por persona;2018;11.062
Ciutat Vella;Renta neta media por persona;2017;10.661
Ciutat Vella;Renta neta media por persona;2016;10.183
Ciutat Vella;Renta neta media por persona;2015;9.873
Ciutat Vella;Renta neta media por hogar;2022;30.572
Ciutat Vella;Renta neta media por hogar;2021;28.528
Ciutat Vella;Renta neta media por hogar;2020;27.329
Ciutat Vella;Renta neta media por hogar;2019;28.329
Ciutat Vella;Renta neta media por hogar;2018;26.822
Ciutat Vella;Renta neta media por hogar;2017;25.523
Ciutat Vella;Renta neta media por hogar;2016;25.112
Ciutat Vella;Renta neta media por hogar;2015;24.565
Ciutat Vella;Media de la renta por unidad de consumo;2022;18.543
Ciutat Vella;Media de la renta por unidad de consumo;2021;17.182
Ciutat Vella;Media de la renta por unidad de consumo;2020;16.138
Ciutat Vella;Media de la renta por unidad de consumo;2019;16.794
Ciutat Vella;Media de la renta por unidad de consumo;2018;16.104
Ciutat Vella;Media de la renta por unidad de consumo;2017;15.478
Ciutat Vella;Media de la renta por unidad de consumo;2016;14.796
Ciutat Vella;Media de la renta por unidad de consumo;2015;14.399
Ciutat Vella;Mediana de la renta por unidad de consumo;2022;15.050
Ciutat Vella;Mediana de la renta por unidad de consumo;2021;13.650
Ciutat Vella;Mediana de la renta por unidad de consumo;2020;12.950
Ciutat Vella;Mediana de la renta por unidad de consumo;2019;13.650
Ciutat Vella;Mediana de la renta por unidad de consumo;2018;12.950
Ciutat Vella;Mediana de la renta por unidad de consumo;2017;12.250
Ciutat Vella;Mediana de la renta por unidad de consumo;2016;12.250
Ciutat Vella;Mediana de la renta por unidad de consumo;2015;11.550
Ciutat Vella;Renta bruta media por persona;2022;16.027
Ciutat Vella;Renta bruta media por persona;2021;14.660
Ciutat Vella;Renta bruta media por persona;2020;13.547
Ciutat Vella;Renta bruta media por persona;2019;14.085
Ciutat Vella;Renta bruta media por persona;2018;13.551
Ciutat Vella;Renta bruta media por persona;2017;12.988
Ciutat Vella;Renta bruta media por persona;2016;12.279
Ciutat Vella;Renta bruta media por persona;2015;11.873
Ciutat Vella;Renta bruta media por hogar;2022;38.116
Ciutat Vella;Renta bruta media por hogar;2021;35.052
Ciutat Vella;Renta bruta media por hogar;2020;33.191
Ciutat Vella;Renta bruta media por hogar;2019;34.540
Ciutat Vella;Renta bruta media por hogar;2018;32.858
Ciutat Vella;Renta bruta media por hogar;2017;31.095
Ciutat Vella;Renta bruta media por hogar;2016;30.281
Ciutat Vella;Renta bruta media por hogar;2015;29.541
Eixample;Renta neta media por persona;2022;20.615
Eixample;Renta neta media por persona;2021;19.441
Eixample;Renta neta media por persona;2020;18.775
Eixample;Renta neta media por persona;2019;18.940
Eixample;Renta neta media por persona;2018;18.442
Eixample;Renta neta media por persona;2017;17.754
Eixample;Renta neta media por persona;2016;17.280
Eixample;Renta neta media por persona;2015;16.854
Eixample;Renta neta media por hogar;2022;47.663
Eixample;Renta neta media por hogar;2021;44.947
Eixample;Renta neta media por hogar;2020;43.849
Eixample;Renta neta media por hogar;2019;44.487
Eixample;Renta neta media por hogar;2018;42.641
Eixample;Renta neta media por hogar;2017;40.953
Eixample;Renta neta media por hogar;2016;40.367
Eixample;Renta neta media por hogar;2015;39.624
Eixample;Media de la renta por unidad de consumo;2022;30.005
Eixample;Media de la renta por unidad de consumo;2021;28.294
Eixample;Media de la renta por unidad de consumo;2020;27.326
Eixample;Media de la renta por unidad de consumo;2019;27.720
Eixample;Media de la renta por unidad de consumo;2018;26.920
Eixample;Media de la renta por unidad de consumo;2017;25.894
Eixample;Media de la renta por unidad de consumo;2016;25.230
Eixample;Media de la renta por unidad de consumo;2015;24.639
Eixample;Mediana de la renta por unidad de consumo;2022;25.550
Eixample;Mediana de la renta por unidad de consumo;2021;24.150
Eixample;Mediana de la renta por unidad de consumo;2020;23.450
Eixample;Mediana de la renta por unidad de consumo;2019;23.450
Eixample;Mediana de la renta por unidad de consumo;2018;22.750
Eixample;Mediana de la renta por unidad de consumo;2017;22.050
Eixample;Mediana de la renta por unidad de consumo;2016;21.350
Eixample;Mediana de la renta por unidad de consumo;2015;20.650
Eixample;Renta bruta media por persona;2022;27.188
Eixample;Renta bruta media por persona;2021;25.416
Eixample;Renta bruta media por persona;2020;24.182
Eixample;Renta bruta media por persona;2019;24.453
Eixample;Renta bruta media por persona;2018;23.771
Eixample;Renta bruta media por persona;2017;22.799
Eixample;Renta bruta media por persona;2016;22.033
Eixample;Renta bruta media por persona;2015;21.389
Eixample;Renta bruta media por hogar;2022;62.860
Eixample;Renta bruta media por hogar;2021;58.761
Eixample;Renta bruta media por hogar;2020;56.479
Eixample;Renta bruta media por hogar;2019;57.438
Eixample;Renta bruta media por hogar;2018;54.962
Eixample;Renta bruta media por hogar;2017;52.589
Eixample;Renta bruta media por hogar;2016;51.469
Eixample;Renta bruta media por hogar;2015;50.285
Sants-Montjuïc;Renta neta media por persona;2022;16.006
Sants-Montjuïc;Renta neta media por persona;2021;15.181
Sants-Montjuïc;Renta neta media por persona;2020;14.477
Sants-Montjuïc;Renta neta media por persona;2019;14.460
Sants-Montjuïc;Renta neta media por persona;2018;13.956
Sants-Montjuïc;Renta neta media por persona;2017;13.432
Sants-Montjuïc;Renta neta media por persona;2016;13.078
Sants-Montjuïc;Renta neta media por persona;2015;12.793
Sants-Montjuïc;Renta neta media por hogar;2022;37.937
Sants-Montjuïc;Renta neta media por hogar;2021;36.071
Sants-Montjuïc;Renta neta media por hogar;2020;34.888
Sants-Montjuïc;Renta neta media por hogar;2019;35.167
Sants-Montjuïc;Renta neta media por hogar;2018;33.622
Sants-Montjuïc;Renta neta media por hogar;2017;32.192
Sants-Montjuïc;Renta neta media por hogar;2016;31.735
Sants-Montjuïc;Renta neta media por hogar;2015;31.246
Sants-Montjuïc;Media de la renta por unidad de consumo;2022;23.089
Sants-Montjuïc;Media de la renta por unidad de consumo;2021;21.945
Sants-Montjuïc;Media de la renta por unidad de consumo;2020;20.955
Sants-Montjuïc;Media de la renta por unidad de consumo;2019;21.055
Sants-Montjuïc;Media de la renta por unidad de consumo;2018;20.292
Sants-Montjuïc;Media de la renta por unidad de consumo;2017;19.558
Sants-Montjuïc;Media de la renta por unidad de consumo;2016;19.022
Sants-Montjuïc;Media de la renta por unidad de consumo;2015;18.637
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2022;20.650
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2021;19.250
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2020;18.550
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2019;18.550
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2018;17.850
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2017;17.150
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2016;16.450
Sants-Montjuïc;Mediana de la renta por unidad de consumo;2015;16.450
Sants-Montjuïc;Renta bruta media por persona;2022;19.893
Sants-Montjuïc;Renta bruta media por persona;2021;18.710
Sants-Montjuïc;Renta bruta media por persona;2020;17.687
Sants-Montjuïc;Renta bruta media por persona;2019;17.667
Sants-Montjuïc;Renta bruta media por persona;2018;17.004
Sants-Montjuïc;Renta bruta media por persona;2017;16.348
Sants-Montjuïc;Renta bruta media por persona;2016;15.790
Sants-Montjuïc;Renta bruta media por persona;2015;15.413
Sants-Montjuïc;Renta bruta media por hogar;2022;47.150
Sants-Montjuïc;Renta bruta media por hogar;2021;44.458
Sants-Montjuïc;Renta bruta media por hogar;2020;42.624
Sants-Montjuïc;Renta bruta media por hogar;2019;42.967
Sants-Montjuïc;Renta bruta media por hogar;2018;40.965
Sants-Montjuïc;Renta bruta media por hogar;2017;39.181
Sants-Montjuïc;Renta bruta media por hogar;2016;38.315
Sants-Montjuïc;Renta bruta media por hogar;2015;37.645
Les Corts;Renta neta media por persona;2022;24.409
Les Corts;Renta neta media por persona;2021;22.837
Les Corts;Renta neta media por persona;2020;22.566
Les Corts;Renta neta media por persona;2019;22.995
Les Corts;Renta neta media por persona;2018;22.404
Les Corts;Renta neta media por persona;2017;21.637
Les Corts;Renta neta media por persona;2016;21.376
Les Corts;Renta neta media por persona;2015;20.195
Les Corts;Renta neta media por hogar;2022;58.364
Les Corts;Renta neta media por hogar;2021;54.767
Les Corts;Renta neta media por hogar;2020;54.260
Les Corts;Renta neta media por hogar;2019;55.875
Les Corts;Renta neta media por hogar;2018;54.429
Les Corts;Renta neta media por hogar;2017;52.604
Les Corts;Renta neta media por hogar;2016;52.433
Les Corts;Renta neta media por hogar;2015;49.709
Les Corts;Media de la renta por unidad de consumo;2022;36.877
Les Corts;Media de la renta por unidad de consumo;2021;34.928
Les Corts;Media de la renta por unidad de consumo;2020;33.908
Les Corts;Media de la renta por unidad de consumo;2019;34.726
Les Corts;Media de la renta por unidad de consumo;2018;34.011
Les Corts;Media de la renta por unidad de consumo;2017;32.792
